date,ticker,open,close,change_pct,volume
2024-10-17,NKGN,0.2847,0.7,145.87284861257461,23795783
2024-10-17,NUZE,0.4808,2.3,378.36938435940095,279562330
2024-10-17,JDZG,5.84,13.6,132.87671232876713,4497679
2024-10-16,VSME,1.07,2.22,107.4766355140187,26682381
2024-10-15,DRUG,2.62,38.49,1369.0839694656488,102757176
2024-10-15,NIVF,3968.5,9800.0,146.9446894292554,28393
2024-10-14,DRUG,1.11,2.49,124.32432432432432,21504441
2024-10-10,ZVZZT,11.01,33.03,200.00000000000006,645786
2024-10-08,ZVZZT,42.3,96.7,128.6052009456265,204701
2024-10-07,AMBO,1.44,4.02,179.16666666666666,38902215
2024-10-07,SOBR,38.0,101.0,165.78947368421052,1593344
2024-10-04,CHSN,224.0,1184.8,428.9285714285714,185918
2024-10-03,EVGOW,0.402,0.82,103.98009950248755,2286273
2024-10-01,EONR,0.85,1.79,110.58823529411765,42599156
2024-09-23,ZVZZT,12.17,38.73,218.24157764995888,88001
2024-09-19,GSIW,2.3,7.83,240.43478260869566,70644497
2024-09-17,GLMD,5.36,15.1,181.71641791044772,98531163
2024-09-16,ZVZZT,32.2,100.0,210.55900621118008,107780
2024-09-13,NOVVU,18.97,41.0,116.1307327358988,17976
2024-09-12,ZVZZT,18.05,62.06,243.82271468144046,189101
2024-09-12,EGIO,1.05,2.14,103.80952380952382,106981752
2024-09-11,CNEY,17.25,34.75,101.44927536231884,13899042
2024-09-10,QH,40.5,119.7,195.55555555555557,3848576
2024-09-06,ZVZZT,12.11,83.0,585.383980181668,433340
2024-09-05,WHLR,8484.0,34776.0,309.9009900990099,9568
2024-08-29,ZVZZT,24.0,61.69,157.04166666666666,210279
2024-08-28,ZVZZT,12.1,25.04,106.94214876033057,241084
2024-08-27,JBDI,5.0,10.12,102.39999999999998,5686282
2024-08-22,FFIE,3.6,8.04,123.33333333333331,153400668
2024-08-19,NCNA,700.0,1940.0,177.14285714285714,21680
2024-08-16,ZVZZT,12.1,31.97,164.21487603305783,162656
2024-08-16,CINGW,0.04,0.1799,349.75,3050823
2024-08-13,ELWS,1.4011,4.4,214.0389693812005,35838198
2024-08-05,TENKU,17.91,40.02,123.45058626465664,33997
2024-08-05,TENK,15.73,36.06,129.24348378893836,2269182
2024-07-29,TWOU,1.31,2.65,102.29007633587786,139181364
